Year,Team,Starter,Player,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
1951,EAST,,Ed Macauley,BOS,,7,12,,,6,7,,,6,1,,,,3,20,0.583,,0.857
1951,EAST,,Joe Fulks,PHW,,6,15,,,7,9,,,7,3,,,,5,19,0.4,,0.778
1951,EAST,,Paul Arizin,PHW,,7,12,,,1,2,,,7,0,,,,2,15,0.583,,0.5
1951,EAST,,Dolph Schayes,SYR,,7,10,,,1,2,,,14,3,,,,1,15,0.7,,0.5
1951,EAST,,Vince Boryla,NYK,,4,6,,,1,1,,,2,2,,,,3,9,0.667,,1
1951,EAST,,Bob Cousy,BOS,,2,12,,,4,5,,,9,8,,,,3,8,0.167,,0.8
1951,EAST,,Red Rocha,BLB,,2,10,,,4,4,,,2,3,,,,2,8,0.2,,1
1951,EAST,,Dick McGuire,NYK,,3,4,,,0,0,,,5,10,,,,2,6,0.75,,
1951,EAST,,Andy Phillip,PHW,,3,8,,,0,0,,,10,8,,,,1,6,0.375,,
1951,EAST,,Harry Gallatin,NYK,,2,4,,,1,1,,,5,2,,,,4,5,0.5,,1
1951,WEST,,Alex Groza,INO,,8,16,,,1,1,,,13,1,,,,4,17,0.5,,1
1951,WEST,,Frankie Brian,TRI,,5,14,,,4,5,,,6,3,,,,2,14,0.357,,0.8
1951,WEST,,Bob Davies,ROC,,4,6,,,5,5,,,5,5,,,,3,13,0.667,,1
1951,WEST,,George Mikan,MNL,,4,17,,,4,6,,,11,3,,,,2,12,0.235,,0.667
1951,WEST,,Vern Mikkelsen,MNL,,4,11,,,3,4,,,9,1,,,,3,11,0.364,,0.75
1951,WEST,,Fred Schaus,FTW,,2,9,,,4,4,,,4,2,,,,3,8,0.222,,1
1951,WEST,,Dike Eddleman,TRI,,2,9,,,3,5,,,0,3,,,,3,7,0.222,,0.6
1951,WEST,,Ralph Beard,INO,,3,8,,,0,3,,,3,2,,,,1,6,0.375,,0
1951,WEST,,Jim Pollard,MNL,,2,11,,,0,0,,,4,5,,,,1,4,0.182,,
1951,WEST,,Larry Foust,FTW,,1,6,,,0,0,,,5,2,,,,3,2,0.167,,
1952,EAST,1,Bob Cousy,BOS,33:00:00,4,14,,,1,2,,,4,13,,,,3,9,0.286,,0.5
1952,EAST,1,Paul Arizin,PHW,32:00:00,9,13,,,8,8,,,6,0,,,,1,26,0.692,,1
1952,EAST,1,Andy Phillip,PHW,30:00:00,4,6,,,3,3,,,3,6,,,,1,11,0.667,,1
1952,EAST,1,Ed Macauley,BOS,28:00:00,3,7,,,9,9,,,7,3,,,,2,15,0.429,,1
1952,EAST,1,Harry Gallatin,NYK,22:00,3,5,,,1,4,,,9,3,,,,3,7,0.6,,0.25
1952,EAST,0,Red Rocha,SYR,28:00:00,5,11,,,2,2,,,5,2,,,,4,12,0.455,,1
1952,EAST,0,Max Zaslofsky,NYK,25:00:00,3,7,,,5,5,,,4,2,,,,0,11,0.429,,1
1952,EAST,0,Dick McGuire,NYK,18:00,0,0,,,1,3,,,1,4,,,,0,1,,,0.333
1952,EAST,0,Fred Scolari,BLB,15:00,5,9,,,0,0,,,0,2,,,,0,10,0.556,,
1952,EAST,0,Joe Fulks,PHW,9:00,3,7,,,0,1,,,5,2,,,,2,6,0.429,,0
1952,WEST,1,George Mikan,MNL,29:00:00,9,19,,,8,9,,,15,1,,,,5,26,0.474,,0.889
