AllStar,Year,Player,PER,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,SsnScr,SsnScr_norm,PosGrp,Percentile
False,2019,Álex Abrines,6.3,0.1,0.6,0.6,0.053,-2.4,-0.9,-3.4,-0.2,0.17929688188941253,0.28621461021559486,BackCourt,0.7066115702479339
False,2019,Quincy Acy,2.9,-0.1,0.0,-0.1,-0.022000000000000002,-5.7,-0.3,-5.9,-0.1,0.15327867721230926,0.2446813150924831,FrontCourt,0.8576388888888888
False,2019,Jaylen Adams,7.6,-0.1,0.2,0.1,0.011000000000000001,-3.1,-1.3,-4.4,-0.3,0.17997997870000193,0.2873050490749998,BackCourt,0.6983471074380165
False,2019,Steven Adams,18.5,5.1,4.0,9.1,0.163,0.6,2.1,2.7,3.2,0.41259768912117245,0.658636589344083,FrontCourt,0.07638888888888884
False,2019,Bam Adebayo,17.9,3.4,3.4,6.8,0.171,-0.6,3.6,3.0,2.4,0.3543197567962736,0.5656065516280355,FrontCourt,0.19791666666666663
False,2019,Deng Adel,2.7,-0.2,0.0,-0.2,-0.054000000000000006,-5.3,-2.0,-7.3,-0.3,0.13997190658357403,0.22343949466260601,FrontCourt,0.9305555555555556
False,2019,DeVaughn Akoon-Purcell,8.2,-0.1,0.0,0.0,-0.051,-4.4,0.8,-3.6,0.0,0.1409531725862615,0.22500590598843284,BackCourt,0.8760330578512396
True,2019,LaMarcus Aldridge,22.9,6.4,2.9,9.3,0.16699999999999998,1.2,0.5,1.6,2.5,0.4731972752915903,0.7553727219093458,FrontCourt,0.03819444444444442
False,2019,Rawle Alkins,8.1,-0.1,0.0,-0.1,-0.042,-4.1,-2.5,-6.5,-0.1,0.13574206656718799,0.21668733032596707,BackCourt,0.8884297520661157
False,2019,Grayson Allen,7.5,-0.4,0.4,0.0,0.002,-3.7,-3.1,-6.8,-0.5,0.181341364172876,0.28947825146628375,BackCourt,0.6900826446280992
False,2019,Jarrett Allen,18.5,4.4,3.3,7.6,0.175,-0.7,3.2,2.5,2.4,0.38262253733654866,0.6107867533972371,FrontCourt,0.13888888888888884
False,2019,Kadeem Allen,16.2,0.7,0.2,1.0,0.111,0.5,-1.6,-1.1,0.1,0.1922555007107776,0.3069006700946344,BackCourt,0.6487603305785123
False,2019,Al-Farouq Aminu,13.2,3.0,2.8,5.8,0.121,0.1,0.8,0.9,1.7,0.35947796528033515,0.5738406860709705,FrontCourt,0.1840277777777778
False,2019,Justin Anderson,11.2,0.1,0.4,0.4,0.043,-2.6,-0.7,-3.2,-0.1,0.1964011657635492,0.3135184645295387,FrontCourt,0.6979166666666667
False,2019,Kyle Anderson,12.8,0.8,1.8,2.7,0.1,-2.1,3.3,1.2,1.0,0.25494818121403684,0.4069780441377506,FrontCourt,0.4722222222222222
False,2019,Ryan Anderson,4.6,-0.3,0.0,-0.2,-0.035,-4.5,-2.0,-6.4,-0.4,0.15688160835778775,0.2504327343172345,FrontCourt,0.8506944444444444
False,2019,Ike Anigbogu,-6.0,-0.1,0.0,-0.1,-0.48,-22.5,8.5,-14.0,0.0,0.11733944759671237,0.1873109219909384,FrontCourt,0.9583333333333334
True,2019,Giannis Antetokounmpo,30.9,8.9,5.5,14.4,0.292,5.7,5.0,10.8,7.6,0.5465912268911669,0.8725327139175252,FrontCourt,0.00347222222222221
False,2019,Kostas Antetokounmpo,-0.9,-0.1,0.0,-0.1,-0.247,-15.9,2.7,-13.3,0.0,0.10014965282251362,0.15987056519757306,FrontCourt,0.96875
False,2019,Carmelo Anthony,10.9,0.1,0.2,0.3,0.048,-3.1,-2.8,-5.9,-0.3,0.16735988341716176,0.2671593799802655,FrontCourt,0.8159722222222222
False,2019,OG Anunoby,9.8,0.3,1.7,2.0,0.07,-1.3,0.1,-1.2,0.3,0.24855664920006068,0.39677513472413906,FrontCourt,0.5034722222222222
False,2019,Ryan Arcidiacono,11.6,2.8,0.9,3.7,0.09,-0.1,-1.0,-1.0,0.5,0.2973267598743324,0.4746276777784997,BackCourt,0.29338842975206614
False,2019,Trevor Ariza,12.0,1.3,1.2,2.5,0.052000000000000005,-0.1,-0.4,-0.5,0.9,0.3568647242614214,0.5696691257418337,FrontCourt,0.1909722222222222
False,2019,D.J. Augustin,15.7,5.0,1.9,6.9,0.146,1.7,-2.0,-0.3,1.0,0.3609301087157008,0.5761587669151575,BackCourt,0.15289256198347112
False,2019,Deandre Ayton,20.5,4.1,1.7,5.8,0.128,-0.1,0.2,0.2,1.2,0.3942231114770733,0.6293049438471705,FrontCourt,0.11458333333333337
False,2019,Dwayne Bacon,11.7,0.9,0.3,1.2,0.073,-1.2,-2.4,-3.5,-0.3,0.19934976244248856,0.31822535870556873,BackCourt,0.6322314049586777
False,2019,Marvin Bagley,18.9,2.0,1.6,3.6,0.11,-1.2,-0.7,-1.8,0.1,0.31897805998157014,0.5091900101266779,FrontCourt,0.29513888888888884
False,2019,Ron Baker,2.5,-0.2,0.1,-0.1,-0.034,-5.9,-0.7,-6.6,-0.2,0.13077178476724177,0.2087531863908222,BackCourt,0.9090909090909091
False,2019,Wade Baldwin,1.3,-0.4,0.1,-0.3,-0.153,-9.3,-1.4,-10.7,-0.2,0.14389677126242312,0.22970482176906745,BackCourt,0.8677685950413223
False,2019,Lonzo Ball,11.7,-0.2,1.7,1.6,0.052000000000000005,-0.9,1.5,0.5,0.9,0.2757941529261989,0.4402548173046246,BackCourt,0.3801652892561983
False,2019,Mo Bamba,14.9,0.3,1.4,1.7,0.106,-3.3,3.1,-0.2,0.4,0.23513294190776496,0.3753466463431622,FrontCourt,0.5625
False,2019,J.J. Barea,16.3,0.4,0.6,1.0,0.064,1.1,-2.2,-1.1,0.2,0.239801469465973,0.3827990949372065,BackCourt,0.524793388429752
